exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
6104;95.7667;6.9091;8.22519;0;0.1786621145400502;0.3392970388107066;0.4810112143560407;0.6038692409356105;0.7118389856469242;0.792894687425845;0.859014060060011;0.9062565798429256;0.934599878404941;0.9445906929099916
6105;86.3757;3.2498;7.76341;0;0.1786353610466195;0.3392793495279945;0.4809625590661377;0.6092448018458697;0.7293010689187369;0.814643038925448;0.8807800943869543;0.9280312510469674;0.9563830756046954;0.9663439147883666
6106;89.188;14.9006;9.94911;0;0.1786673907854846;0.339276755735855;0.4810152465499214;0.6124533791889265;0.7352746463846588;0.8298359960926994;0.8959596475364403;0.9432007178968104;0.9715401471223358;0.9815316869735062
6107;82.6317;3.68402;8.62001;0.000000000000000006938893903907228;0.1786377377067173;0.3392738107279919;0.4809895755877353;0.6127256623222533;0.7268819415510512;0.8117439070124927;0.8778953149672559;0.9251366790456708;0.9534884643664738;0.963449304362593
6108;94.9163;15.8638;7.74239;0;0.1786617444930734;0.3392871982557011;0.4810205141337597;0.6038159451493675;0.7302724992992328;0.833696151625162;0.899852339192877;0.9470833322152548;0.975440866797555;0.9854280171352352
6109;87.8641;14.124;15.2225;0;0.17866737944533;0.3392775325004264;0.4809748214880674;0.6205056578114282;0.7314827894532694;0.8322279772711545;0.898335742466609;0.9455813975703246;0.9739262317698958;0.9839177990154374
6110;82.6003;11.506;11.7764;0;0.1786673748132031;0.33927667732833;0.481060921123398;0.6131807354147537;0.714502156804126;0.8006712812942652;0.8667961446690678;0.914048320804319;0.9423874820667156;0.9523790256773364
6111;98.9418;8.16671;7.40977;0;0.1786621151961362;0.339296995486272;0.4810108675227748;0.6038401776240899;0.7107368098648553;0.7917583139632464;0.8578043602968707;0.9050567195091366;0.933400057472143;0.9433908711253892
6112;84.1868;16.4312;11.118;0;0.17866170695861;0.3392890697867812;0.4809974465334828;0.6357614397231365;0.7813725101610869;0.8680887305457665;0.9342291504317476;0.981466020314876;1.009822668495515;1.019809823365287
6113;97.8249;7.49246;8.22946;0;0.178662115994866;0.3392970070421027;0.4810255796633959;0.6038452250510055;0.7115120387303004;0.7920955359473252;0.8581442578472157;0.9053900692066924;0.933733291116835;0.9437241072750132
6114;91.2307;12.6352;4.83369;0;0.178661775759461;0.3392838144494628;0.4810112223677969;0.6045700793598237;0.7136107401259557;0.8006221827347955;0.8667499955078701;0.9140000997992626;0.942339281977641;0.9523308254895466
6115;84.3133;6.99273;8.13182;0;0.1786617613206704;0.3392847498154762;0.4810126530810738;0.6061955712157869;0.7085881222960658;0.792681008690057;0.8588466001481364;0.906087496817973;0.9344308259928942;0.9444216403243678
6116;93.2328;16.7143;12.5808;0;0.1786617563591577;0.3392851785183328;0.4810624578253441;0.6060956877396798;0.7549318072829705;0.8790286586455399;0.9452108449452852;0.9924534590720294;1.020796307329403;1.0307839547473
6117;98.4626;9.97279;10.2354;0;0.1786621172318506;0.3392969380983943;0.4810280403242127;0.6039787174336677;0.7135837181549192;0.7933471708528792;0.8594771593069825;0.9067200561134176;0.9350634098733306;0.9450542243924428
6118;99.7104;5.02758;6.12574;0;0.1786621165689584;0.3392969824816028;0.4810150874919;0.6038453627158167;0.7122634136559967;0.7979875858828178;0.864056493606535;0.9112998549546112;0.9396431536729006;0.9496339679803384
6119;91.6179;4.35178;14.6052;0;0.1786621289083516;0.3392965708130373;0.4809833102061891;0.6088278400345121;0.72811302406906;0.8111170715384224;0.8771776707478054;0.924422901824737;0.9527746285910922;0.9627354688476488
6120;95.7174;2.13145;5.6037;0;0.1786352861382272;0.3392636312131894;0.4809790799724705;0.6043005268444644;0.7321861043933775;0.8263661167790922;0.8923856318732516;0.939636111056713;0.967987976293554;0.9779488148312976
6121;84.7331;15.4897;13.8328;0;0.1786617372198665;0.339287950381763;0.4809533286157049;0.6304382627900279;0.7615456251782938;0.856362806372587;0.9224679767748456;0.9697160839538188;0.9980608775224362;1.008052444992556
6122;81.8163;7.82771;7.55005;0;0.1786617318700063;0.339287799430269;0.4810043173098176;0.6064909266313779;0.7069102481064946;0.7916015541713863;0.8577579070484489;0.9049988100668632;0.9333421404161716;0.943332954724408
6123;85.859;10.6811;11.3634;0;0.1786673974751681;0.3392766357703112;0.4810168296427276;0.6103771070445082;0.7107798646719934;0.7960190625912017;0.8621543455224017;0.9094044467586612;0.9377436266539224;0.9477351702119428
6124;94.4481;2.80017;8.14538;0;0.1786352599173858;0.3392797691044343;0.4809861530503513;0.6049212933124214;0.7297543856716332;0.8203360039407656;0.8864298657683352;0.9336709243693488;0.9620227287623776;0.971983568461623
6125;82.6733;6.61615;4.91577;0;0.1786621087780904;0.3392974137342476;0.4810256042341917;0.6050171458778268;0.7084605735877001;0.7933075230063179;0.8594602508511379;0.9067011780219722;0.9350445089148758;0.9450353232072062
6126;94.8527;9.9033;9.8962;0;0.17866211720546;0.3392969681181016;0.4810249002158671;0.6043405088666925;0.7120555402575431;0.7931586370056429;0.8593105829094859;0.9065515408111962;0.9348948742955334;0.944885688497615
6127;81.398;15.2227;7.82919;0;0.178667388640386;0.3392769138381824;0.4810182063183918;0.6214265264151887;0.7441460306460586;0.8294733543086473;0.8956086189679781;0.9428588145218962;0.9711979927037086;0.981189536274139
6128;96.1616;4.63108;5.55659;0;0.1786621371085172;0.3392949769702499;0.4810185835105139;0.6038927631239057;0.7141065322478682;0.7993610207603697;0.8655113409433051;0.9127527384559078;0.941096059626842;0.9510868739887668
6129;91.3209;17.3225;5.49964;0;0.1786616566922933;0.339281675793154;0.4810534144827068;0.6020803827129056;0.7677371697994924;0.8513484420532713;0.9175333010491062;0.964769996566792;0.9931266388737962;1.003113793884418
6130;90.5846;8.77002;5.01156;0;0.178662136863098;0.3392949392917269;0.4810231990021868;0.6038771603794532;0.7077999388102356;0.791919914166775;0.8580721185951221;0.905322697080142;0.9336660696930662;0.9436568831705428
6131;83.1731;16.169;5.08434;0;0.178661642442477;0.3392823326885449;0.4810333302013221;0.6191508469629226;0.744883800244734;0.8300267381753519;0.8961676654382044;0.9434045340511734;0.9717611810644984;0.9817483359529824
6132;86.2762;11.4531;15.9926;0;0.1786673742964088;0.339290540994782;0.4810049878428608;0.6163699542256955;0.715836571772778;0.8022607453285906;0.8683962739037641;0.9156370036983498;0.9439764342252514;0.9539679740749962
6133;87.2183;15.2893;11.5811;0;0.1786617298244115;0.3392879274177812;0.4810328323126798;0.6215767662590401;0.7476420487232744;0.8422527553883173;0.908360053860911;0.955606503754334;0.9839456870038462;0.9939372338035692
6134;97.5795;12.276;10.7967;0;0.1786673954495803;0.3392765082315851;0.4810173831175636;0.6041684168782467;0.7164519388316457;0.8033840574801724;0.8698181633086568;0.917060378700337;0.9453975022983572;0.9553891045228346
6135;88.6358;8.8323;9.87401;0;0.1786617434010018;0.3392871857124274;0.4810102996425683;0.6061404158431337;0.7089114687397992;0.7914167840342148;0.8575707703403611;0.9048214623771356;0.9331648310203208;0.9431556445467578
6136;94.3575;8.20131;4.45379;0;0.1786621358530996;0.339294919544844;0.4810165797507339;0.6037823621488916;0.7085058531479852;0.7919285575173032;0.8580808382775656;0.9053315276698958;0.9336748959966634;0.9436657095309126
6137;98.9812;14.1065;14.9676;0;0.1786673842079419;0.3392771707254839;0.4810306746422724;0.6045054395607304;0.7257317819542126;0.8249059881705976;0.8936989563937076;0.9409154993737106;0.9692603997813762;0.9792519731573442
6138;85.2208;13.7416;6.86582;0;0.178667401383573;0.3392764847384408;0.4810062518469824;0.6118478426732231;0.7245855979859033;0.8107717384327237;0.8769061546041423;0.9241479266779562;0.952487338012322;0.9624788780551464
6139;84.0946;15.2023;6.89284;0;0.1786673948065598;0.3392765886033165;0.4810147343587682;0.6180753891580245;0.739669385556215;0.8253298684255069;0.8914694377775142;0.938711197558729;0.967050608009519;0.9770421480722616
6140;80.4189;12.0004;12.7461;0;0.1786673748339613;0.3392921276188414;0.481248326130242;0.6153162556726932;0.7187116869261756;0.8050489975694846;0.8711780923141722;0.9184169336012602;0.946761677488743;0.9567532458983298
6141;99.1859;10.2043;5.50772;0;0.1786617654241026;0.3392851237482985;0.4810120997529188;0.6038575189138163;0.7100250213025814;0.7934773453748938;0.8596410825936361;0.9068828488349676;0.935222255943067;0.9452137960476222
6142;89.7209;13.1831;6.02359;0;0.1786617474884087;0.3392871421994994;0.4810068986345475;0.6056938087518454;0.7174424099267163;0.8049441773444347;0.8710678184712247;0.9183179566256568;0.9466571385761516;0.9566486820862632
6143;82.6199;5.76588;7.4575;0;0.1786621243822932;0.3392973591900603;0.4810026382328871;0.6072021845620439;0.7116699508989672;0.7962336866591263;0.8623919885230883;0.9096328832600852;0.937976213658616;0.947967027967585
6144;86.4658;15.2016;15.1931;0;0.1786617697516428;0.3392895668737418;0.4809619107568789;0.6280762927466984;0.7499397305343081;0.8537893223636317;0.919905617719246;0.9671429190187384;0.995487696541665;1.005479264655712
6145;99.8336;12.5665;5.04967;0;0.1786617464579884;0.3392871553734296;0.4810229244605954;0.6038494716886851;0.7124791100917124;0.799874558457608;0.8660714704024026;0.9133112561155428;0.941650693799535;0.951642233717884
6146;88.0215;10.9353;12.6995;0;0.1786673846628197;0.3392779402157746;0.4810125943126281;0.6107505498214638;0.7124361004783193;0.7975116736802118;0.8636401296292383;0.9108880503896404;0.9392328429256276;0.9492244104561754
6147;85.6467;13.662;11.2918;0;0.1786673980574496;0.339276432655526;0.4810022120208717;0.6166882412743171;0.7284079020813164;0.8183945355215073;0.8845007964020913;0.9317507755207736;0.9600899630890614;0.9700815065190116
6148;95.27;11.1929;9.46283;0;0.1786673858875276;0.3392772006230296;0.4810216300061032;0.6043227699925311;0.7129183796116146;0.7972636285756629;0.8634443556214613;0.9106844296696032;0.9390238659696994;0.9490154058996742
6149;87.5607;4.11411;4.75212;0;0.178661984028866;0.3392902496760496;0.481004578885775;0.6052192355869838;0.7168025260408983;0.8017346203858983;0.8678810063077363;0.9151320791564582;0.9434839033962086;0.9534447426036836
6150;86.2254;4.83962;9.22887;0;0.1786621696433653;0.3392922071460078;0.4810040290064812;0.6075527445074312;0.7181677027615827;0.8019856735054713;0.8681518674197249;0.9154028121540062;0.9437546349302428;0.9537154741946646
